"Part";"Value";"Device";"Package";"Description";"COLOR";"IMAX";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"VMAX";
"AIN";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"AT_ON";"LG_T679-E1F1-1";"LG_T679-E1F1-1";"PLCC2";"LC TOPLED® Low Current LED";"green";"";"";"";"";"";"";"";"";
"BUT1";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"BUT2+3";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"C1";"22uF/10V";"CAP-AVX-A";"AVX-A";"Electrolytic Capacitors,Tantalum Capacitors and Super Capacitors";"";"";"";"";"";"";"";"";"";
"C2";"10uF/25V";"CAP-ELECTRO-B";"ELECTRO-SMD-B-4.8MM";"Electrolytic Capacitors,Tantalum Capacitors and Super Capacitors";"";"";"";"";"";"";"";"";"";
"C3";"22pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C4";"220pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C5";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C6";"22uF/10V";"CAP-AVX-A";"AVX-A";"Electrolytic Capacitors,Tantalum Capacitors and Super Capacitors";"";"";"";"";"";"";"";"";"";
"C7";"22uF/16V";"CAP-ELECTRO-B";"ELECTRO-SMD-B-4.8MM";"Electrolytic Capacitors,Tantalum Capacitors and Super Capacitors";"";"";"";"";"";"";"";"";"";
"C8";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C9";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C10";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C11";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C12";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C13";"10Uf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C14";"22pF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C15";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C16";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C17";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C18";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C19";"NS";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C20";"NS";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C21";"NS";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C22";"NS";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C23";"NS";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C24";"NS";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C25";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C26";"NS";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C27";"NS";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C28";"NS";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C29";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C30";"NS";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C31";"NS";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C32";"NS";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
"C33";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";
